"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-01","2020","01","01","","-0.2","","-3.2","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","28","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-02","2020","01","02","","6.4","","-0.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","T","19","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-03","2020","01","03","","6.8","","2.3","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","","","27","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-04","2020","01","04","","2.5","","-0.7","","0.9","","17.1","","0.0","","0.0","","2.4","","1.6","","2","","31","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-05","2020","01","05","","1.3","","-2.8","","-0.8","","18.8","","0.0","","0.0","","3.6","","3.6","","0","T","32","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-06","2020","01","06","","1.8","","-5.2","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","4","","30","","61",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-07","2020","01","07","","4.0","","-5.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","2","","19","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-08","2020","01","08","","-0.7","","-9.4","","-5.1","","23.1","","0.0","","0.0","","2.0","","2.0","","2","","28","","65",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-09","2020","01","09","","2.0","","-11.7","","-4.9","","22.9","","0.0","","0.0","","0.2","","0.2","","1","","16","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-10","2020","01","10","","7.5","","1.4","","4.5","","13.5","","0.0","","1.8","","0.0","","1.8","","0","T","21","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-11","2020","01","11","","11.9","","1.7","","6.8","","11.2","","0.0","","59.0","","0.0","","59.0","","","","34","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-12","2020","01","12","","1.7","","-6.2","","-2.3","","20.3","","0.0","","16.6","","1.0","","17.6","","1","","31","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-13","2020","01","13","","1.7","","-5.0","","-1.7","","19.7","","0.0","","0.0","","0.4","","0.4","","0","T","8","","39",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-14","2020","01","14","","2.9","","-0.2","","1.4","","16.6","","0.0","","0.0","T","0.0","","0.0","T","0","T","9","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-15","2020","01","15","","4.3","","0.8","","2.6","","15.4","","0.0","","0.0","","0.0","T","0.0","T","","","31","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-16","2020","01","16","","1.7","","-11.7","","-5.0","","23.0","","0.0","","0.0","","0.2","","0.2","","0","T","32","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-17","2020","01","17","","-8.0","","-14.9","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-18","2020","01","18","","2.5","","-8.1","","-2.8","","20.8","","0.0","","0.2","","17.2","","14.4","","6","E","9","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-19","2020","01","19","","0.4","","-11.6","","-5.6","","23.6","","0.0","","0.0","","2.4","","1.6","","16","","25","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-20","2020","01","20","","-5.2","","-15.6","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","13","","31","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-21","2020","01","21","","-2.8","","-8.7","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","12","","28","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-22","2020","01","22","","0.8","","-7.9","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","11","","19","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-23","2020","01","23","","2.3","","-4.6","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","7","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-24","2020","01","24","","3.7","","-1.7","","1.0","","17.0","","0.0","","18.6","","0.0","","18.6","","4","","7","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-25","2020","01","25","","3.6","","1.5","","2.6","","15.4","","0.0","","8.6","","0.0","T","8.6","","1","","9","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-26","2020","01","26","","3.2","","0.7","","2.0","","16.0","","0.0","","0.8","","0.2","","1.0","","0","T","20","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-27","2020","01","27","","1.3","","-0.1","","0.6","","17.4","","0.0","","0.0","T","0.0","","0.0","T","0","T","32","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-28","2020","01","28","","1.8","","-1.9","","-0.1","","18.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-29","2020","01","29","","-1.9","","-7.9","","-4.9","","22.9","","0.0","","0.0","","0.0","T","0.0","T","","","4","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-30","2020","01","30","","-1.9","","-8.3","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","","","9","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-01-31","2020","01","31","","-0.2","","-3.7","","-2.0","","20.0","","0.0","","0.0","","0.8","","0.8","","0","T","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-01","2020","02","01","","1.0","","-4.1","","-1.6","","19.6","","0.0","","0.0","","1.6","","1.4","","0","T","17","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-02","2020","02","02","","2.1","","-2.1","","0.0","","18.0","","0.0","","0.0","","4.2","","4.2","","2","","16","","32",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-03","2020","02","03","","5.7","","0.4","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","2","","30","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-04","2020","02","04","","2.3","","-4.7","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","","","33","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-05","2020","02","05","","-3.0","","-8.2","","-5.6","","23.6","","0.0","","0.0","","1.0","","0.6","","1","E","33","","54",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-06","2020","02","06","","-3.5","","-5.5","","-4.5","","22.5","","0.0","","0.0","","6.6","","6.4","","3","","6","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-07","2020","02","07","","-4.3","","-9.2","","-6.8","","24.8","","0.0","","0.0","","3.0","","1.8","","8","","33","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-08","2020","02","08","","-7.1","","-14.9","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","9","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-09","2020","02","09","","0.6","","-10.6","","-5.0","","23.0","","0.0","","0.0","","8.4","","8.4","","5","","16","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-10","2020","02","10","","2.9","","0.2","","1.6","","16.4","","0.0","","0.0","","0.2","","0.2","","11","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-11","2020","02","11","","2.1","","-2.3","","-0.1","","18.1","","0.0","","0.0","","0.0","T","0.0","T","7","","28","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-12","2020","02","12","","1.5","","-4.6","","-1.6","","19.6","","0.0","","0.0","","0.8","","0.4","","3","","19","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-13","2020","02","13","","-0.2","","-17.1","","-8.7","","26.7","","0.0","","0.0","","5.0","","4.0","","6","","32","","52",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-14","2020","02","14","","-9.2","","-20.6","","-14.9","","32.9","","0.0","","0.0","","0.0","","0.0","","7","","15","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-15","2020","02","15","","0.3","","-11.9","","-5.8","","23.8","","0.0","","0.0","","0.2","","0.2","","3","","20","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-16","2020","02","16","","3.0","","-2.8","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","2","","27","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-17","2020","02","17","","-0.2","","-6.0","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","1","","9","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-18","2020","02","18","","5.2","","-1.4","","1.9","","16.1","","0.0","","0.2","","5.6","","6.8","","5","","27","","58",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-19","2020","02","19","","-0.8","","-7.0","","-3.9","","21.9","","0.0","","0.0","","0.0","T","0.0","T","1","","30","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-20","2020","02","20","","-4.1","","-11.4","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","0","T","31","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-21","2020","02","21","","0.6","","-10.5","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","","","19","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-22","2020","02","22","","5.7","","-4.4","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","","","27","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-23","2020","02","23","","9.3","","-0.3","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","","","19","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-24","2020","02","24","","9.3","","-0.7","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","","","","","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-25","2020","02","25","","4.5","","0.3","","2.4","","15.6","","0.0","","0.8","","1.4","","2.2","","1","","7","","33",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-26","2020","02","26","","2.8","","-4.3","","-0.8","","18.8","","0.0","","0.0","","11.4","","11.4","","1","","8","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-27","2020","02","27","","-3.5","","-6.2","","-4.9","","22.9","","0.0","","0.0","","2.4","","2.4","","13","","27","","87",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-28","2020","02","28","","-3.7","","-10.7","","-7.2","","25.2","","0.0","","0.0","","1.6","","1.6","","11","","27","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-02-29","2020","02","29","","-3.7","","-14.0","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","12","","31","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-01","2020","03","01","","2.5","","-10.9","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","11","","16","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-02","2020","03","02","","6.8","","0.8","","3.8","","14.2","","0.0","","0.2","","0.0","","0.2","","2","","18","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-03","2020","03","03","","4.2","","0.4","","2.3","","15.7","","0.0","","8.8","","0.0","","8.8","","0","T","27","","41",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-04","2020","03","04","","6.0","","0.7","","3.4","","14.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","30","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-05","2020","03","05","","5.9","","-3.5","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","0","T","31","","45",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-06","2020","03","06","","2.3","","-2.2","","0.1","","17.9","","0.0","","0.0","","1.8","","2.2","","0","T","4","","48",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-07","2020","03","07","","3.9","","-7.2","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","","","18","","35",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-08","2020","03","08","","12.2","","0.4","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","","","19","","46",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-09","2020","03","09","","17.2","","7.8","","12.5","","5.5","","0.0","","0.0","T","0.0","","0.0","T","","","21","","50",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-10","2020","03","10","","11.8","","-1.5","","5.2","","12.8","","0.0","","3.6","","0.0","","3.6","","","","19","","55",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-11","2020","03","11","","4.2","","-2.5","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","","","8","","42",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-12","2020","03","12","","5.9","","0.0","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","","","8","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2020-03-13","2020","03","13","","8.4","","1.1","","4.8","","13.2","","0.0","","2.8","","0.0","","2.8","","","","29","","78",""
