"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-06","2011","02","06","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-07","2011","02","07","","","","","","","M","","M","","M","0.0","","11.2","","9.2","","25","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-08","2011","02","08","","","","","","","M","","M","","M","0.0","","2.4","","2.0","","36","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-09","2011","02","09","","","","","","","M","","M","","M","0.0","","3.8","","2.6","","36","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-10","2011","02","10","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","36","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-11","2011","02","11","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","36","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-12","2011","02","12","","","","","","","M","","M","","M","0.0","","5.5","","5.3","","36","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-13","2011","02","13","","","","","","","M","","M","","M","0.0","","5.8","","9.0","","37","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-14","2011","02","14","","","","","","","M","","M","","M","0.0","","7.8","","7.4","","36","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-15","2011","02","15","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","43","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-16","2011","02","16","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","43","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-17","2011","02","17","","","","","","","M","","M","","M","14.8","","0.0","","14.8","","43","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-18","2011","02","18","","","","","","","M","","M","","M","7.6","","0.0","","7.6","","33","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-19","2011","02","19","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","31","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-20","2011","02","20","","","","","","","M","","M","","M","0.0","","0.0","T","0.0","T","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-21","2011","02","21","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-22","2011","02","22","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-23","2011","02","23","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-24","2011","02","24","","","","","","","M","","M","","M","0.0","","0.2","","0.2","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-25","2011","02","25","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-26","2011","02","26","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-27","2011","02","27","","","","","","","M","","M","","M","0.0","","2.8","","2.6","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-02-28","2011","02","28","","","","","","","M","","M","","M","0.0","","21.4","","20.6","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-01","2011","03","01","","","","","","","M","","M","","M","0.0","","4.0","","2.6","","43","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-02","2011","03","02","","","","","","","M","","M","","M","0.0","","2.0","","1.6","","46","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-03","2011","03","03","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","43","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-04","2011","03","04","","","","","","","M","","M","","M","0.0","","6.0","","3.0","","43","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-05","2011","03","05","","","","","","","M","","M","","M","23.0","","14.6","","41.6","","46","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-06","2011","03","06","","","","","","","M","","M","","M","0.0","","21.4","","23.4","","48","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-07","2011","03","07","","","","","","","M","","M","","M","0.0","","30.0","","29.2","","57","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-08","2011","03","08","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","72","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-09","2011","03","09","","","","","","","M","","M","","M","0.0","","10.6","","10.4","","72","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-10","2011","03","10","","","","","","","M","","M","","M","18.9","","8.1","","26.4","","78","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-11","2011","03","11","","","","","","","M","","M","","M","6.2","","0.0","","6.2","","80","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-12","2011","03","12","","","","","","","M","","M","","M","0.0","","2.2","","2.2","","62","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-13","2011","03","13","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","62","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-14","2011","03","14","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","61","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-15","2011","03","15","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","56","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-16","2011","03","16","","","","","","","M","","M","","M","0.0","","3.2","","3.2","","56","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-17","2011","03","17","","","","","","","M","","M","","M","20.6","","0.0","","20.6","","54","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-18","2011","03","18","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","46","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-19","2011","03","19","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","39","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-20","2011","03","20","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","39","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-21","2011","03","21","","","","","","","M","","M","","M","0.0","","4.0","","4.2","","38","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-22","2011","03","22","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","39","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-23","2011","03","23","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","39","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-24","2011","03","24","","","","","","","M","","M","","M","0.0","","2.2","","2.2","","39","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-25","2011","03","25","","","","","","","M","","M","","M","0.0","","1.0","","1.0","","38","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-26","2011","03","26","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","37","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-27","2011","03","27","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","37","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-28","2011","03","28","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","37","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-29","2011","03","29","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","37","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-30","2011","03","30","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","37","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-03-31","2011","03","31","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","33","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-01","2011","04","01","","","","","","","M","","M","","M","0.0","","3.6","","3.6","","33","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-02","2011","04","02","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","30","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-03","2011","04","03","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","25","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-04","2011","04","04","","","","","","","M","","M","","M","15.6","","2.8","","18.6","","19","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-05","2011","04","05","","","","","","","M","","M","","M","5.2","","0.0","","5.2","","9","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-06","2011","04","06","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","7","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-07","2011","04","07","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","7","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-08","2011","04","08","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","3","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-09","2011","04","09","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","3","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-10","2011","04","10","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-11","2011","04","11","","","","","","","M","","M","","M","1.6","","0.0","","1.6","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-12","2011","04","12","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-13","2011","04","13","","","","","","","M","","M","","M","4.6","","0.0","","4.6","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-14","2011","04","14","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-15","2011","04","15","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-16","2011","04","16","","","","","","","M","","M","","M","19.3","","7.0","","26.3","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-17","2011","04","17","","","","","","","M","","M","","M","8.4","","1.4","","9.8","","4","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-18","2011","04","18","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","3","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-19","2011","04","19","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-20","2011","04","20","","","","","","","M","","M","","M","0.0","","16.0","","22.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-21","2011","04","21","","","","","","","M","","M","","M","0.0","","1.4","","1.4","","18","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-22","2011","04","22","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","9","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-23","2011","04","23","","","","","","","M","","M","","M","5.4","","0.0","","5.4","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-24","2011","04","24","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-25","2011","04","25","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-26","2011","04","26","","","","","","","M","","M","","M","13.8","","0.0","","13.8","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-27","2011","04","27","","","","","","","M","","M","","M","3.6","","0.0","","3.6","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-28","2011","04","28","","","","","","","M","","M","","M","8.8","","0.0","","8.8","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-29","2011","04","29","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-04-30","2011","04","30","","","","","","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-01","2011","05","01","","","","","","","M","","M","","M","","","","","","","0","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-02","2011","05","02","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-03","2011","05","03","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-04","2011","05","04","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-05","2011","05","05","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-06","2011","05","06","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-07","2011","05","07","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-08","2011","05","08","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-09","2011","05","09","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-10","2011","05","10","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-11","2011","05","11","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-12","2011","05","12","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-13","2011","05","13","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-14","2011","05","14","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-15","2011","05","15","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-16","2011","05","16","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-17","2011","05","17","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-18","2011","05","18","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-19","2011","05","19","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-20","2011","05","20","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-21","2011","05","21","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-22","2011","05","22","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-23","2011","05","23","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-24","2011","05","24","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-25","2011","05","25","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-26","2011","05","26","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-27","2011","05","27","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-28","2011","05","28","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-29","2011","05","29","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-30","2011","05","30","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-05-31","2011","05","31","","","","","","","M","","M","","M","","","","","","","","M","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-01","2011","06","01","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-02","2011","06","02","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-03","2011","06","03","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-04","2011","06","04","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-05","2011","06","05","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-06","2011","06","06","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-07","2011","06","07","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-08","2011","06","08","","","","","","","M","","M","","M","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2011-06-09","2011","06","09","","","","","","","M","","M","","M","","","","","","","","","","","",""
