"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-01","2017","01","01","†","","","","","","","","","","","0.0","","7.4","","4.2","","54","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-02","2017","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","56","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-03","2017","01","03","†","","","","","","","","","","","0.0","T","16.0","","15.6","","54","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-04","2017","01","04","†","","","","","","","","","","","0.0","","5.0","","4.8","","61","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-05","2017","01","05","†","","","","","","","","","","","0.0","","1.2","","0.6","","61","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-06","2017","01","06","†","","","","","","","","","","","0.0","","0.0","T","0.0","","60","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-07","2017","01","07","†","","","","","","","","","","","0.0","","0.6","","0.6","","62","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-08","2017","01","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","62","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-09","2017","01","09","†","","","","","","","","","","","0.0","","0.8","","0.8","","62","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-10","2017","01","10","†","","","","","","","","","","","0.0","T","14.6","","14.6","","64","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-11","2017","01","11","†","","","","","","","","","","","2.8","","0.0","","2.8","","75","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-12","2017","01","12","†","","","","","","","","","","","7.6","","0.0","T","7.6","","72","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-13","2017","01","13","†","","","","","","","","","","","0.0","","0.2","","0.2","","66","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-14","2017","01","14","†","","","","","","","","","","","0.0","","2.4","","1.6","","66","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-15","2017","01","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","68","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-16","2017","01","16","†","","","","","","","","","","","0.0","","1.0","","1.0","","68","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-17","2017","01","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","64","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-18","2017","01","18","†","","","","","","","","","","","0.0","","8.4","","6.0","","58","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-19","2017","01","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-20","2017","01","20","†","","","","","","","","","","","0.0","T","0.0","T","0.0","T","60","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-21","2017","01","21","†","","","","","","","","","","","0.0","","0.0","T","0.0","","60","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-22","2017","01","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-23","2017","01","23","†","","","","","","","","","","","0.0","","0.0","","0.0","","60","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-24","2017","01","24","†","","","","","","","","","","","2.0","","14.0","","30.0","","60","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-25","2017","01","25","†","","","","","","","","","","","0.0","T","5.4","","5.4","","69","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-26","2017","01","26","†","","","","","","","","","","","0.0","","0.4","","0.4","","70","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-27","2017","01","27","†","","","","","","","","","","","0.0","","0.4","","0.4","","69","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-28","2017","01","28","†","","","","","","","","","","","0.0","","2.2","","2.2","","69","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-29","2017","01","29","†","","","","","","","","","","","0.0","","2.8","","2.8","","70","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-30","2017","01","30","†","","","","","","","","","","","0.0","","0.2","","0.2","","70","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-01-31","2017","01","31","†","","","","","","","","","","","0.0","","0.0","T","0.0","","70","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-01","2017","02","01","†","","","","","","","","","","","0.0","","0.4","","0.4","","70","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-02","2017","02","02","†","","","","","","","","","","","0.0","","0.0","T","0.0","","71","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-03","2017","02","03","†","","","","","","","","","","","0.0","","0.0","T","0.0","","72","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-04","2017","02","04","†","","","","","","","","","","","0.0","","3.4","","3.4","","72","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-05","2017","02","05","†","","","","","","","","","","","0.0","","9.2","","9.2","","78","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-06","2017","02","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","84","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-07","2017","02","07","†","","","","","","","","","","","0.0","T","12.0","","23.8","","84","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-08","2017","02","08","†","","","","","","","","","","","0.0","T","2.4","","4.8","","97","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-09","2017","02","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","97","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-10","2017","02","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","96","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-11","2017","02","11","†","","","","","","","","","","","0.0","","0.0","T","0.0","","94","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-12","2017","02","12","†","","","","","","","","","","","0.0","","9.0","","6.2","","94","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-13","2017","02","13","†","","","","","","","","","","","0.0","","0.4","","0.4","","100","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-14","2017","02","14","†","","","","","","","","","","","0.0","","0.2","","0.2","","101","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-15","2017","02","15","†","","","","","","","","","","","0.0","","1.4","","1.4","","99","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-16","2017","02","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","99","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-17","2017","02","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","95","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-18","2017","02","18","†","","","","","","","","","","","0.2","","0.0","","0.2","","93","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-19","2017","02","19","†","","","","","","","","","","","0.2","","0.0","","0.2","","92","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-20","2017","02","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","91","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-21","2017","02","21","†","","","","","","","","","","","0.0","","0.2","","0.2","","87","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-22","2017","02","22","†","","","","","","","","","","","0.4","","0.0","","0.4","","85","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-23","2017","02","23","†","","","","","","","","","","","8.8","","0.2","","9.0","","82","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-24","2017","02","24","†","","","","","","","","","","","5.6","","0.0","","5.6","","78","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-25","2017","02","25","†","","","","","","","","","","","15.6","","1.8","","17.4","","78","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-26","2017","02","26","†","","","","","","","","","","","0.0","","2.0","","2.0","","75","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","2017-02-27","2017","02","27","†","","","","","","","","","","","0.0","","0.0","T","0.0","","76","","","","",""
