"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-01","1978","01","01","","-13.8","","-19.2","","-16.5","","34.5","","0.0","","0.0","","0.2","","0.2","","52","","6","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-02","1978","01","02","","-10.6","","-15.3","","-13.0","","31.0","","0.0","","0.0","","5.4","","4.8","","53","","6","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-03","1978","01","03","","-12.3","","-17.3","","-14.8","","32.8","","0.0","","0.0","","0.0","T","0.2","","55","","24","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-04","1978","01","04","","-14.4","","-22.0","","-18.2","","36.2","","0.0","","0.0","","1.4","","2.2","","54","","23","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-05","1978","01","05","","-10.6","","-16.2","","-13.4","","31.4","","0.0","","0.0","","0.4","","0.4","","56","","24","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-06","1978","01","06","","-12.8","","-20.5","","-16.7","","34.7","","0.0","","0.0","","0.0","T","0.0","T","55","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-07","1978","01","07","","-12.2","","-16.4","","-14.3","","32.3","","0.0","","0.0","","3.6","","3.8","","54","","5","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-08","1978","01","08","","0.5","","-12.4","","-6.0","","24.0","","0.0","","14.2","","21.4","","38.4","","58","","5","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-09","1978","01","09","","6.7","","-17.7","","-5.5","","23.5","","0.0","","34.2","","6.0","","41.0","","57","","22","","67",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-10","1978","01","10","","-14.2","","-20.1","","-17.2","","35.2","","0.0","","0.0","","4.4","","4.4","","58","","22","","69",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-11","1978","01","11","","-13.4","","-20.7","","-17.1","","35.1","","0.0","","0.0","","0.4","","0.4","","58","","25","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-12","1978","01","12","","-17.3","","-23.4","","-20.4","","38.4","","0.0","","0.0","","0.0","","0.0","","57","","26","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-13","1978","01","13","","-13.6","","-26.4","","-20.0","","38.0","","0.0","","0.0","","0.0","T","0.0","T","57","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-14","1978","01","14","","-10.5","","-15.9","","-13.2","","31.2","","0.0","","0.0","","6.8","","6.8","","57","","6","","70",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-15","1978","01","15","","-9.6","","-13.3","","-11.5","","29.5","","0.0","","0.0","","2.8","","1.0","","63","","6","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-16","1978","01","16","","-12.8","","-19.1","","-16.0","","34.0","","0.0","","0.0","","0.0","T","0.0","T","62","","23","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-17","1978","01","17","","-13.4","","-24.4","","-18.9","","36.9","","0.0","","0.0","","0.0","T","0.0","T","60","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-18","1978","01","18","","-7.5","","-17.0","","-12.3","","30.3","","0.0","","0.0","","9.4","","9.4","","62","","5","","54",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-19","1978","01","19","","-11.5","","-20.3","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","66","","23","","31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-20","1978","01","20","","-11.8","","-19.1","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","66","","7","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-21","1978","01","21","","-6.3","","-16.5","","-11.4","","29.4","","0.0","","0.0","","1.6","","1.6","","65","","6","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-22","1978","01","22","","-5.8","","-17.1","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","65","","25","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-23","1978","01","23","","-3.9","","-8.0","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","63","","24","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-24","1978","01","24","","-3.7","","-7.6","","-5.7","","23.7","","0.0","","0.0","","0.6","","0.4","","62","","24","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-25","1978","01","25","","0.0","","-6.3","","-3.2","","21.2","","0.0","","0.0","T","6.4","","8.0","","62","","7","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-26","1978","01","26","","2.9","","-4.7","","-0.9","","18.9","","0.0","","16.9","","0.6","","17.9","","60","","7","","78",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL A","7016294","1978-01-27","1978","01","27","","-4.4","","-9.1","","-6.8","","24.8","","0.0","","0.0","","10.8","","4.8","","53","","25","","37",""
